Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,TN,FP,FN,TP
Logistic Regression,0.8042704626334519,0.6644067796610169,0.5268817204301075,0.5877061469265368,0.8400485588483279,934,99,176,196
Decision Tree,0.7943060498220641,0.6195965417867435,0.5779569892473119,0.5980528511821975,0.8316756706117477,901,132,157,215
Random Forest,0.79644128113879,0.6524822695035462,0.4946236559139785,0.5626911314984709,0.8358536572671726,935,98,188,184
Gradient Boosting,0.799288256227758,0.65625,0.5080645161290323,0.5727272727272728,0.8363624061872197,934,99,183,189
Support Vector Machine,0.797153024911032,0.6916299559471366,0.4220430107526882,0.5242070116861436,0.7835865367600371,963,70,215,157
K-Nearest Neighbors,0.7637010676156584,0.5628930817610063,0.48118279569892475,0.518840579710145,0.7993304291707003,894,139,193,179
Random Forest (Balanced),0.7701067615658364,0.547945205479452,0.7526881720430108,0.6342015855039638,0.8388567071583966,802,231,92,280
Logistic Regression (Balanced),0.7437722419928826,0.5106382978723404,0.7741935483870968,0.6153846153846154,0.8393251204863171,757,276,84,288
